Intention,Controlled,Count,Escape_weight,Base_escape_rate,Overall_rate
cfp,FALSE,66,4.744400012,6.00E-04,0.00284664
cfp,TRUE,32,0.210774808,6.00E-04,0.000126465
crb,FALSE,31,5.436081441,1.00E-04,0.000543608
crb,TRUE,11,0.183956037,1.00E-04,1.84E-05
hg,FALSE,28,3.246753273,0.011,0.035714286
hg,TRUE,14,0.307999998,0.011,0.003388
pasture,FALSE,91,1.697531981,0.051,0.086574131
pasture,TRUE,25,0.228852459,0.051,0.011671475
pyrome,FALSE,17,0.006,6.00E-04,3.60E-06
pyrome,TRUE,548,0.006,6.00E-04,3.60E-06
defor,FALSE,6,2.791666791,0.0095,0.026520835
defor,TRUE,1,0.358208939,0.0095,0.003402985
